de,420823,7612885,100
la,234083,3361379,"44,15"
l,173892,4251506,"55,85"
le,168392,,
a,167182,,
et,166742,,
des,149917,,
les,148468,,
d,131977,,
en,129056,,
un,93922,,
est,89870,,
du,89247,,
une,78232,,
par,66609,,
dans,60332,,
pour,52018,,
qui,46223,,
ou,44558,,
au,42331,,
il,42042,,
que,40231,,
sur,37892,,
plus,33477,,
sont,31106,,
avec,24468,,
ce,22427,,
s,22008,,
se,21148,,
n,19931,,
son,19262,,
comme,18970,,
qu,18682,,
aux,18126,,
pas,18086,,
ne,16506,,
on,16467,,
1,15286,,
c,15119,,
etre,14732,,
cette,14634,,
mais,13576,,
entre,12759,,
peut,12392,,
2,12008,,
ces,11565,,
deux,11497,,
sa,11475,,
meme,11441,,
ont,11373,,
elle,11168,,
ses,11165,,
ete,11012,,
sous,10943,,
aussi,10731,,
ainsi,10051,,
y,9732,,
autres,9704,,
leur,9545,,
donnees,9316,,
fait,9004,,
dont,8505,,
x,8299,,
exemple,8174,,
si,8126,,
france,8037,,
systeme,7839,,
0,7706,,
alors,7637,,
3,7569,,
depuis,7253,,
plusieurs,6942,,
non,6839,,
apres,6833,,
pays,6689,,
egalement,6570,,
siecle,6569,,
tout,6548,,
ils,6404,,
francais,6348,,
displaystyle,6339,,
5,6220,,
recherche,6149,,
information,6136,,
tres,6049,,
selon,5964,,
4,5881,,
annees,5881,,
etats,5830,,
lui,5798,,
premier,5787,,
sans,5721,,
permet,5719,,
nombre,5718,,
web,5697,,
bien,5616,,
soit,5611,,
ville,5576,,
etat,5504,,
ensemble,5465,,
donc,5448,,
0,5385,,
notamment,5265,,
etait,5215,,
autre,5146,,
cas,5134,,
e,5094,,
forme,5089,,
monde,5079,,
peuvent,5078,,
temps,5053,,
tous,5019,,
i,5007,,
partie,4962,,
leurs,4828,,
nom,4814,,
base,4729,,
premiere,4664,,
internet,4659,,
vers,4616,,
developpement,4601,,
fin,4563,,
puis,4547,,
b,4503,,
paris,4473,,
certains,4430,,
f,4425,,
trois,4421,,
encore,4405,,
souvent,4357,,
chaque,4321,,
etc,4260,,
fonction,4251,,
ans,4243,,
moins,4243,,
informatique,4226,,
utilise,4187,,
faire,4135,,
6,4134,,
grand,4115,,
contre,4112,,
place,4034,,
unis,4015,,
systemes,4005,,
histoire,3991,,
reseau,3981,,
millions,3969,,
grande,3951,,
voir,3917,,
8,3915,,
espace,3889,,
partir,3858,,
politique,3855,,
jusqu,3845,,
fois,3832,,
guerre,3814,,
10,3756,,
droit,3737,,
elles,3721,,
avant,3711,,
7,3707,,
lors,3697,,
j,3679,,
p,3655,,
fut,3646,,
ci,3560,,
version,3494,,
doit,3491,,
celle,3487,,
celui,3472,,
