the,68451,1121457,100
of,55661,476105,"42,45"
and,34248,645352,"57,55"
in,30038,,
a,21267,,
to,19990,,
with,14455,,
is,12333,,
patient,11903,,
for,10311,,
wa,8357,,
be,8154,,
ar,7108,,
on,6929,,
as,6860,,
by,6853,,
were,6151,,
an,5518,,
or,5291,,
thi,5060,,
us,4079,,
that,3851,,
after,3816,,
treatment,3743,,
from,3717,,
case,3635,,
studi,3412,,
result,3316,,
clinic,3170,,
not,3167,,
we,3065,,
it,3054,,
year,3004,,
at,2853,,
can,2795,,
1,2690,,
have,2640,,
diseas,2510,,
ha,2473,,
which,2473,,
therapi,2457,,
these,2430,,
2,2397,,
been,2324,,
group,2283,,
0,2203,,
effect,2190,,
differ,2092,,
system,2056,,
follow,2052,,
increas,2048,,
3,2031,,
present,2011,,
tumor,1992,,
5,1966,,
cell,1934,,
all,1902,,
dure,1896,,
show,1883,,
develop,1874,,
onli,1854,,
oper,1805,,
between,1786,,
mai,1780,,
no,1775,,
method,1764,,
report,1713,,
diagnosi,1696,,
time,1695,,
perform,1693,,
sever,1655,,
surgeri,1643,,
well,1617,,
rate,1610,,
there,1597,,
4,1576,,
techniqu,1572,,
most,1554,,
procedur,1538,,
more,1529,,
6,1520,,
high,1504,,
function,1481,,
s,1470,,
up,1454,,
evalu,1447,,
pain,1438,,
caus,1430,,
but,1413,,
risk,1409,,
than,1408,,
had,1407,,
complic,1401,,
other,1381,,
should,1368,,
examin,1365,,
two,1360,,
our,1350,,
also,1341,,
possibl,1318,,
surgic,1308,,
compar,1281,,
import,1281,,
lesion,1272,,
improv,1266,,
treat,1258,,
howev,1248,,
fractur,1237,,
ag,1233,,
investig,1221,,
indic,1210,,
bone,1201,,
measur,1197,,
tissu,1197,,
their,1179,,
both,1157,,
arteri,1147,,
control,1144,,
implant,1140,,
type,1129,,
8,1105,,
chang,1101,,
blood,1097,,
postop,1093,,
found,1091,,
month,1071,,
first,1070,,
test,1070,,
includ,1060,,
infect,1054,,
new,1052,,
due,1049,,
factor,1048,,
7,1047,,
syndrom,1040,,
data,1039,,
10,1038,,
diagnost,1036,,
posit,1036,,
therapeut,1036,,
could,1030,,
mean,1024,,
base,1022,,
such,1021,,
signific,1011,,
